name,atlasName,atlasId,cohortId
ADT+enzalutamide,REVIEW [PIONEER 2.0] ADT + ARTA (enzalutamide),373,359
ADT+abiraterone,REVIEW [PIONEER 2.0] ADT + ARTA (Abiraterone),381,360
ADT+apalutamide,REVIEW [PIONEER 2.0] ADT + ARTA (apalutamide),375,361
ADT+darolutamide,REVIEW [PIONEER 2.0] ADT + ARTA (darolutamide),376,362
ADT+CHEMO,REVIEW [PIONEER 2.0] ADT + CHEMO,377,363
ADT+docetaxel,REVIEW [PIONEER 2.0] ADT + CHEMO (docetaxel),378,364
ADT+paclitaxel,REVIEW [PIONEER 2.0] ADT + CHEMO (Paclitaxel),382,365
ADT+cabazitaxel,REVIEW [PIONEER 2.0] ADT + CHEMO (Cabazitaxel),379,366
ADT+ARTA + CHEMO,REVIEW [PIONEER 2.0] ADT + ARTA + CHEMO,395,367
ADT+darolutamide + docetaxel,REVIEW [PIONEER 2.0] ADT + ARTA (darolutamide) + CHEMO (docetaxel),383,368
ADT+abiraterone + docetaxel,REVIEW [PIONEER 2.0] ADT + ARTA (abiraterone) + CHEMO (docetaxel),386,369
ADT+lutetium PSMA,REVIEW [PIONEER 2.0] ADT + lutetium PSMA,387,370
ADT+radium-223,REVIEW [PIONEER 2.0] ADT +Radium 223,388,371
ADT+PARP-inhibitor,REVIEW [PIONEER 2.0] ADT +PARP Inhibitor,389,372
ADT+olaparib,REVIEW [PIONEER 2.0] ADT + olaparib,390,373
ADT+rucaparib,REVIEW [PIONEER 2.0] ADT + rucaparib,391,374
ADT+immunotherapy,REVIEW [PIONEER 2.0] ADT + immunotherapy,392,375
ADT+sipuleucel-T,REVIEW [PIONEER 2.0] ADT + sipuleucel-T,393,376
ADT+pembrolizumab,REVIEW [PIONEER 2.0] ADT + pembrolizumab,394,377
